article,views
2024-11-23,
Main_Page,1663100
Special:Search,1226700
Spécial:Recherche,882100
Scott_Bessent,245200
Wicked_(2024_film),236300
Wicked_(musical),210200
Gladiator_II,168500
Pam_Bondi,159300
GNX_(album),139600
Cynthia_Erivo,110100
Janette_Nesheiwat,104200
Wikipédia:Accueil_principal,102700
Wikipedia:首页,96700
Wikipedia:Hauptseite,94900
Murder_of_Laken_Riley,91000
Gladiator_(2000_film),87400
Lori_Chavez-DeRemer,84200
Wikipedia:Portada,83200
メインページ,81300
Ariana_Grande,79800
Curt_Cignetti,76400
2024_United_States_presidential_election,75600
Scott_Turner_(politician),68200
Kendrick_Lamar,65900
Deaths_in_2024,59900
Wicked_(Maguire_novel),57100
Empress_Elisabeth_of_Austria,54800
Pete_Hegseth,53300
Khalid_(singer),51700
Marty_Makary,50500
Arcane_(TV_series),49900
Wikipedia:Featured_pictures,49400
Conor_McGregor,48700
Special:RecentChanges,48400
Matt_Gaetz,47500
Alien:_Romulus,47200
Wicked_Part_Two,46700
Survivor_Series:_WarGames_(2024),45900
Jonathan_Bailey,45600
Daniel_Jones_(American_football),44600
Red_One_(film),44000
Sebastian_Gorka,43000
Brooke_Rollins,42900
Special:ListUsers,42200
Elon_Musk,41600
Dave_Weldon,40900
Apple_Network_Server,40200
Donald_Trump,39600
Linda_McMahon,37800
Russell_Vought,37200
Julia_Nesheiwat,36800
The_Wizard_of_Oz,36300
Thanksgiving_Day_Disaster,34800
Franz_Joseph_I_of_Austria,34400
2020_United_States_presidential_election,33200
Rumeysa_Gelgi,32800
Ethan_Slater,32600
Tulsi_Gabbard,32000
Smile_2,31100
Paul_Mescal,31100
Ted_Danson,30900
Project_2025,30100
Kristin_Chenoweth,30000
Judy_Garland,29700
Jared_McCain,29600
2024_MAMA_Awards,29500
Moana_2,29400
Thank_You/en,29300
Robert_F._Kennedy_Jr.,29100
John_F._Kennedy,28800
Deion_Sanders,28500
Special:UserLogin,28400
Jameis_Winston,28200
Shawn_Grate,28200
Brandon_Allen_(American_football),27900
Bluesky,27200
Josh_Brolin,27100
Special:UserLogin,26900
Dietrich_Bonhoeffer,26400
Special:UserLogin,26100
Jyoti_Amge,26100
Special:UserLogin,25600
A_Man_on_the_Inside,25500
Connie_Nielsen,25500
Special:UserLogin,25200
Limonene,25100
Jack_Antonoff,25000
Idina_Menzel,24700
Raindrop_cake,24600
Special:UserLogin,24600
Special:UserLogin,24500
特殊:用户登录,24400
Заглавная_страница,24400
Main_Page,24400
Special:UserLogin,24300
